Volume,close_lag_1,close_lag_2,close_lag_3,rolling_mean_5,rolling_std_5
AAPL,,,,,
237458000,23.887285232543945,23.556961059570312,23.55473518371582,24.008323669433594,0.5271366447513037
214798000,24.805082321166992,23.887285232543945,23.556961059570312,24.127150344848634,0.645421408725962
198603200,24.831687927246094,24.805082321166992,23.887285232543945,24.26016731262207,0.5609670585840383
268367600,24.219820022583008,24.831687927246094,24.805082321166992,24.43574638366699,0.4001916292251712
195826400,24.434856414794922,24.219820022583008,24.831687927246094,24.52663917541504,0.2771875269260202
240056000,24.34174919128418,24.434856414794922,24.219820022583008,24.301842880249023,0.41595351631723243
314053200,23.681100845336914,24.34174919128418,24.434856414794922,24.034926223754884,0.41914038733535147
199599600,23.49710464477539,23.681100845336914,24.34174919128418,24.011426162719726,0.40936217429704197
194303600,24.102319717407227,23.49710464477539,23.681100845336914,23.9817195892334,0.3748908341606647
215185600,24.28632354736328,24.102319717407227,23.49710464477539,24.096998596191405,0.5574486723130243
185859200,24.91814422607422,24.28632354736328,24.102319717407227,24.370123672485352,0.6322620472833137
222460000,25.04672622680664,24.91814422607422,24.28632354736328,24.68536834716797,0.45674371649561774
382274800,25.073328018188477,25.04672622680664,24.91814422607422,24.70399055480957,0.4280240928079568
585908400,24.195430755615234,25.073328018188477,25.04672622680664,24.959379577636717,0.4925986872495556
337745600,25.563268661499023,24.195430755615234,25.073328018188477,25.24757957458496,0.7926156618428878
334982000,26.35914421081543,25.563268661499023,24.195430755615234,25.43291473388672,0.8407866707725051
250956400,25.97340202331543,26.35914421081543,25.563268661499023,25.6781063079834,0.8871852589358
207662800,26.299285888671875,25.97340202331543,26.35914421081543,26.099763870239258,0.3363328487390916
280598800,26.30371856689453,26.299285888671875,25.97340202331543,26.288200759887694,0.1947392382831266
168984800,26.50545310974121,26.30371856689453,26.299285888671875,26.355299758911134,0.2689522924946484
174826400,26.694639205932617,26.50545310974121,26.30371856689453,26.454589462280275,0.16380256225766696
155559200,26.469850540161133,26.694639205932617,26.50545310974121,26.523867034912108,0.1546950330468778
248034000,26.645673751831055,26.469850540161133,26.694639205932617,26.694639205932617,0.27524197653911897
294247200,27.15757942199707,26.645673751831055,26.469850540161133,26.952372741699218,0.5347822166262662
297898000,27.79412078857422,27.15757942199707,26.645673751831055,27.242599868774413,0.7212127193693473
217088800,28.145774841308594,27.79412078857422,27.15757942199707,27.6053825378418,0.690908063039153
252609600,28.283763885498047,28.145774841308594,27.79412078857422,27.966385650634766,0.5126651353388297
179566800,28.4506893157959,28.283763885498047,28.145774841308594,28.2646240234375,0.32328554282249916
149449600,28.648771286010742,28.4506893157959,28.283763885498047,28.42353630065918,0.2094212267804078
195793600,28.588682174682617,28.648771286010742,28.4506893157959,28.558856201171874,0.20358780657515804
283896400,28.82237434387207,28.588682174682617,28.648771286010742,28.822377014160157,0.4554478155542269
276912400,29.601367950439453,28.82237434387207,28.588682174682617,29.015564727783204,0.4631699845581637
298846800,29.416627883911133,29.601367950439453,28.82237434387207,29.018679428100587,0.460129125639954
365150000,28.664344787597656,29.416627883911133,29.601367950439453,29.106369400024413,0.39484218422470396
248059200,29.027132034301758,28.664344787597656,29.416627883911133,29.06007652282715,0.44663505626749495
192386800,28.590909957885742,29.027132034301758,28.664344787597656,28.886026763916014,0.3397357210843811
151265200,28.73111915588379,28.590909957885742,29.027132034301758,28.760945892333986,0.16651232981629044
126665200,28.791223526000977,28.73111915588379,28.590909957885742,28.749819183349608,0.17616045298218744
226068400,28.60871124267578,28.791223526000977,28.73111915588379,28.571321105957033,0.25805192603639077
291368400,28.134641647338867,28.60871124267578,28.791223526000977,28.488524627685546,0.31114684751608146
354114000,28.17692756652832,28.134641647338867,28.60871124267578,28.401725006103515,0.2860776977316086
275426400,28.297121047973633,28.17692756652832,28.134641647338867,28.185834884643555,0.32351346948242565
275756000,27.711772918701172,28.297121047973633,28.17692756652832,27.905401611328124,0.4487800860353278
193450800,27.206544876098633,27.711772918701172,28.297121047973633,27.81815528869629,0.4352726666481034
207309200,27.698410034179688,27.206544876098633,27.711772918701172,27.684171295166017,0.3988063321498694
143497200,27.507007598876953,27.698410034179688,27.206544876098633,27.586687088012695,0.2391234871174389
204092400,27.80970001220703,27.507007598876953,27.698410034179688,27.69930534362793,0.3947299959669801
261083600,28.274864196777344,27.80970001220703,27.507007598876953,27.976623153686525,0.44576840875939117
183238000,28.5931339263916,28.274864196777344,27.80970001220703,28.112389755249023,0.44321800548169377
274780400,28.377243041992188,28.5931339263916,28.274864196777344,28.215215301513673,0.30608134194477676
150838800,28.021135330200195,28.377243041992188,28.5931339263916,28.315815734863282,0.20567082742093126
131369200,28.312702178955078,28.021135330200195,28.377243041992188,28.300235748291016,0.2123893363464882
206620800,28.196964263916016,28.312702178955078,28.021135330200195,28.07366065979004,0.36862176723240453
190291600,27.46025848388672,28.196964263916016,28.312702178955078,27.928546905517578,0.3619904247931908
158184800,27.651674270629883,27.46025848388672,28.196964263916016,27.81058692932129,0.4162998037881673
188398800,27.43133544921875,27.651674270629883,27.46025848388672,27.77319450378418,0.36518245626585305
168362400,28.12574005126953,27.43133544921875,27.651674270629883,27.67259407043457,0.2781760387608911
162485600,27.69396209716797,28.12574005126953,27.43133544921875,27.711322402954103,0.2536194378109266
128880400,27.653900146484375,27.69396209716797,28.12574005126953,27.759397506713867,0.26212577489953937
148776000,27.89204978942871,27.653900146484375,27.69396209716797,27.941901397705077,0.2925179790247772
140049200,28.343854904174805,27.89204978942871,27.653900146484375,27.92587661743164,0.28193226295328866
149316800,28.045616149902344,28.343854904174805,27.89204978942871,27.97795639038086,0.2507033620611731
129936000,27.954360961914062,28.045616149902344,28.343854904174805,28.080783081054687,0.1800409382425708
160752000,28.168033599853516,27.954360961914062,28.045616149902344,28.160015869140626,0.16253999733054783
145460400,28.2882137298584,28.168033599853516,27.954360961914062,28.137759399414062,0.1366271684591495
102098400,28.232572555541992,28.2882137298584,28.168033599853516,28.150667190551758,0.12855591768884905
115881600,28.11015510559082,28.232572555541992,28.2882137298584,28.203194046020506,0.06740626418833688
113476000,28.216995239257812,28.11015510559082,28.232572555541992,28.185832595825197,0.08704478763075084
207828000,28.081226348876953,28.216995239257812,28.11015510559082,28.081227111816407,0.18845227852156088
188217200,27.765186309814453,28.081226348876953,28.216995239257812,28.114612579345703,0.2317737139619927
129740400,28.399499893188477,27.765186309814453,28.081226348876953,28.141767501831055,0.23896317221263833
150618000,28.245929718017578,28.399499893188477,27.765186309814453,28.223670196533202,0.3256486460900561
183083600,28.626508712768555,28.245929718017578,28.399499893188477,28.379467010498047,0.41464386263867936
178103600,28.860210418701172,28.626508712768555,28.245929718017578,28.625625610351562,0.3112452750482571
387816800,28.99597930908203,28.860210418701172,28.626508712768555,28.85041732788086,0.4716484196328194
475696000,29.52345848083496,28.99597930908203,28.860210418701172,29.012891387939455,0.33001127575849204
253544400,29.058300018310547,29.52345848083496,28.99597930908203,29.013782501220703,0.3287105652522036
332781600,28.630964279174805,29.058300018310547,29.52345848083496,28.812582778930665,0.6226587571394537
